ID	language	Analysis_Source	Name (extracted)	Citing Article	Cited Article	Features	Homepage	Note	Label	Details	modality	use
8664	Sicilian Corpus	citing_context	Mparamu lu sicilianu	https://www.semanticscholar.org/paper/318e3ced09aa6ce5fc6e457768e270a9714eb518 (2021)		The 'Mparamu lu sicilianu' dataset is used to translate homework exercises into Sicilian, English, and Italian, facilitating linguistic analysis and educational applications. It provides authentic and structured language samples, enhancing research on translation accuracy and language bridging. The dataset supports studies in linguistic content and grammatical structures, aiding both academic and pedagogical research.		not a dataset	3	a book	Written	Machine Translation
10212	Tunisian Arabic Corpus	citing_context	CODA Tun.	https://doi.org/10.13053/RCS-90-1-9 (2015)	https://www.semanticscholar.org/paper/a24b30b1db2ed332aae0ca77b578f9d4b94a7bab (2012)	The CODA Tun. dataset is used to propose a conventional orthography for Tunisian Arabic by extending the CODA map to support the dialect. This involves standardizing written forms of Tunisian Arabic, focusing on developing consistent and systematic orthographic rules. The dataset enables researchers to address the challenge of creating a standardized writing system for a dialect that lacks a formal orthographic tradition.	https://aclanthology.org/L14-1214/	not a dataset	3	a conventional orthograph	Written	Lexicon/Dictionary
9676	Swahili Corpus	cited_context | citing_context	sawa corpus	https://doi.org/10.48550/arXiv.2211.00046 (2022), https://doi.org/10.1007/S10579-011-9159-7 (2011), https://www.semanticscholar.org/paper/ead82aa52dd095cede73531344a382b2b867c79b (2010)	https://doi.org/10.1007/S10579-011-9159-7 (2011), https://doi.org/10.3115/1564508.1564511 (2009)	The SAWA dataset is used to source parallel sentences in Swahili and English, facilitating translation and cross-lingual analysis across various domains. Researchers employ this dataset to enhance translation accuracy and explore linguistic similarities and differences between the two languages, leveraging its parallel structure to support robust cross-lingual studies.; The SAWA corpus is used to compile and analyze comprehensive resources of 21,000 lemmas for English-Swahili translations, supporting linguistic and translation research. It is employed to develop and evaluate machine translation systems, providing a parallel corpus for training and testing models. Additionally, it is used to construct a trilingual parallel corpus (English-Luo-Swahili) for linguistic alignment and computational morphological analysis, leveraging chapter and verse indications for paragraph alignment.	https://aflat.org/	not a dataset	3	cannot find the exactly one dataset	Written	Machine Translation
9677	Swahili Corpus	citing_context	sawa corpus	https://doi.org/10.48550/arXiv.2410.14289 (2024)	https://doi.org/10.1007/S10579-011-9159-7 (2011)	The Sawa Corpora dataset is used to develop and evaluate question answering systems in Swahili, leveraging stories in the Swahili language. It also addresses the lack of appropriate data for English-Swahili translation by providing a two-million-word parallel corpus, enabling detailed language pair analysis and enhancing translation models.	https://aflat.org/	not a dataset	3	cannot find the exactly one dataset	Written	Question Answering
9651	Swahili Corpus	cited_context	freedict	https://doi.org/10.18653/v1/2022.naacl-main.293 (2021)	https://www.semanticscholar.org/paper/562c09c112df56c5696c010d90a815d6018a86c8 (2017)	The FreeDict dataset is primarily used to align word embeddings for Swahili, providing bilingual dictionaries that support word translation without parallel data. It is also utilized to align word embeddings for other languages like French, German, and Chinese, with a focus on enhancing Swahili language research. This dataset enables researchers to improve cross-lingual word representation and translation accuracy, particularly in scenarios where parallel corpora are scarce.	https://freedict.org	not a dataset	3	it is a dictionary	Written	Lexicon/Dictionary
5620	Indonesian Corpus	citing_context	Huggingface Community Datasets	https://doi.org/10.14569/ijacsa.2022.0131110 (2022)	https://doi.org/10.18653/v1/N18-1149 (2018)	The Huggingface Community Datasets is a collection of various NLP datasets contributed by the community, utilized for a wide range of natural language processing tasks. Researchers employ these datasets to develop and evaluate NLP models, addressing diverse research questions and applications. The dataset's community-driven nature ensures a broad and dynamic resource, enabling robust testing and validation across multiple NLP domains.		not a dataset	3	it is not a dataset	Written	
10	Akan Corpus	cited_context	Twi Bible	https://www.semanticscholar.org/paper/4e96e6d2abc54bc55d5489a9e5a666f273b69410 (2019)	https://doi.org/10.1023/A:1001798929185 (1999)	The Twi Bible dataset is used as a base text for linguistic studies in the Akan language, particularly in low-resourced and endangered language contexts. Researchers leverage its widespread availability to conduct linguistic analyses, focusing on the preservation and documentation of the Akan language. The dataset's extensive use in these contexts enables detailed linguistic research and supports efforts to maintain linguistic diversity.	-	not a dataset	3	it is the bible itself	Written	Linguistic Analysis
9	Akan Corpus	cited_context	JW300	https://www.semanticscholar.org/paper/4e96e6d2abc54bc55d5489a9e5a666f273b69410 (2019)	https://doi.org/10.18653/v1/P19-1310 (2019)	The JW300 dataset is primarily used to enhance and expand vocabulary in low-resource languages, particularly in the Akan language, by increasing token counts to over 10,000. It serves as a parallel corpus for training and evaluating machine translation and language modeling tasks. Researchers use it to compare the quality and dialect mix between Twi and Yoruba corpora, and to study the Akuampem dialect of Akan. The dataset provides clean, wide-coverage data, crucial for improving translation quality and addressing low-resource language challenges.	https://opus.nlpl.eu/JW300.php	not a dataset	3	JW300 is part of the OPUS project. The OPUS site hosts JW300.	Written	Machine Translation
185	Bavarian Corpus	cited_context	Glottolog	https://doi.org/10.18653/V1/2021.NAACL-MAIN.197 (2021)	https://doi.org/10.5617/OSLA.75 (2011)	The Glottolog dataset is used to provide information on language families, particularly for linguistic studies and language documentation. It focuses on linguistic classification, including the Bavarian language family. Researchers use this dataset to support studies involving language documentation and classification, enhancing understanding of linguistic relationships and structures.	https://glottolog.org/	not a dataset	3	Comprehensive reference information for the world's languages, especially the lesser known languages.		Lexicon/Dictionary
768	Cameroon Pidgin Corpus	citing_context	Creole Language Structures (APiCS)	https://doi.org/10.1177/13670069211019126 (2021)	https://doi.org/10.1075/CLL.20 (1999)	The Creole Language Structures (APiCS) dataset is used to investigate linguistic structures in creole languages, particularly to demonstrate the presence of split systems in English- and Portuguese-lexifier contact languages. Researchers employ this dataset to support their analyses of linguistic features, focusing on how these systems emerge and function within creole languages. The dataset's comprehensive coverage of structural data enables detailed comparative studies, enhancing understanding of creole language formation and typology.	https://apics-online.info/	not a dataset	3	not a dataset	Written	Linguistic Analysis
